,href,name,keys
64,https://yocket.in/university-reviews/california-state-university-long-beach-2680/engineering,"California State University, Long Beach ",CSU LB
65,https://yocket.in/university-reviews/university-of-maryland-baltimore-county-2621/engineering,"University of Maryland, Baltimore County ",UMBC
66,https://yocket.in/university-reviews/west-virginia-university-morgantown-2859/engineering,"West Virginia University, Morgantown ",WVU
67,https://yocket.in/university-reviews/california-institute-of-technology-771/engineering,California Institute Of Technology ,CalTech
68,https://yocket.in/university-reviews/state-university-of-new-york-at-binghamton-2599/engineering,State University of New York at Binghamton ,SUNY Bingh.
69,https://yocket.in/university-reviews/california-state-university-los-angeles-2681/engineering,"California State University, Los Angeles ",CSU LA
70,https://yocket.in/university-reviews/texas-a-and-m-university-kingsville-2796/engineering,Texas A&M University - Kingsville ,TAMUK
71,https://yocket.in/university-reviews/indiana-university-bloomington-861/engineering,Indiana University Bloomington ,IUB
72,https://yocket.in/university-reviews/university-of-arizona-1813/engineering,University of Arizona ,U.Ariz
73,https://yocket.in/university-reviews/university-of-pittsburgh-821/engineering,University of Pittsburgh ,UPitt
74,https://yocket.in/university-reviews/oklahoma-state-university-stillwater-1812/engineering,Oklahoma State University-Stillwater ,Oklahoma
75,https://yocket.in/university-reviews/georgia-state-university-2573/engineering,Georgia State University ,GSU
76,https://yocket.in/university-reviews/texas-tech-university-2602/engineering,Texas Tech University ,TTU Whitcre
77,https://yocket.in/university-reviews/university-of-california-riverside-2611/engineering,"University of California, Riverside ",UC Riverside
78,https://yocket.in/university-reviews/johns-hopkins-university-744/engineering,Johns Hopkins University ,J.Hopkins
79,https://yocket.in/university-reviews/indiana-univ-purdue-univ-indianapolis-2576/engineering,Indiana University- Purdue University Indianapolis ,IUPUI
80,https://yocket.in/university-reviews/university-of-michigan-dearborn-2820/engineering,"University of Michigan, Dearborn ",UM Dearborn
81,https://yocket.in/university-reviews/university-of-north-carolina-at-chapel-hill-1101/engineering,University of North Carolina at Chapel Hill ,UNC-Chapel
82,https://yocket.in/university-reviews/george-washington-university-1103/engineering,George Washington University ,GWU
83,https://yocket.in/university-reviews/university-of-california-santa-cruz-2612/engineering,"University of California, Santa Cruz ",UCSC
84,https://yocket.in/university-reviews/duke-university-799/engineering,Duke University ,Duke
85,https://yocket.in/university-reviews/oregon-state-university-2592/engineering,Oregon State University ,Oregon SU
86,https://yocket.in/university-reviews/harvard-university-2574/engineering,Harvard University ,Harvard
87,https://yocket.in/university-reviews/california-state-university-east-bay-2677/engineering,"California State University, East Bay ",CSU EB
88,https://yocket.in/university-reviews/kansas-state-university-2577/engineering,Kansas State University ,Kansas SU
89,https://yocket.in/university-reviews/university-of-central-florida-2613/engineering,University of Central Florida ,UCF
90,https://yocket.in/university-reviews/cleveland-state-university-2569/engineering,Cleveland State University ,Cleveland
91,https://yocket.in/university-reviews/northern-illinois-university-2755/engineering,Northern Illinois University ,NIU
92,https://yocket.in/university-reviews/missouri-university-of-science-and-technology-2583/engineering,Missouri University of Science and Technology ,MUST
93,https://yocket.in/university-reviews/worcester-polytechnic-institute-2655/engineering,Worcester Polytechnic Institute ,WPI
94,https://yocket.in/university-reviews/lehigh-university-2579/engineering,Lehigh University ,Lehigh
95,https://yocket.in/university-reviews/drexel-university-2571/engineering,Drexel University ,Drexel
96,https://yocket.in/university-reviews/southern-methodist-university-2598/engineering,Southern Methodist University ,SMU Dallas
97,https://yocket.in/university-reviews/university-of-houston-clear-lake-2815/engineering,University of Houston - Clear Lake ,UHCL
98,https://yocket.in/university-reviews/wayne-state-university-2653/engineering,Wayne State University ,Wayne SU
99,https://yocket.in/university-reviews/california-state-university-sacramento-2683/engineering,"California State University, Sacramento ",Sac State
100,https://yocket.in/university-reviews/university-of-virginia-2647/engineering,University of Virginia ,U. Virginia
101,https://yocket.in/university-reviews/case-western-reserve-university-820/engineering,Case Western Reserve University ,CWRU
102,https://yocket.in/university-reviews/california-state-university-northridge-2682/engineering,"California State University, Northridge ",CSUN
103,https://yocket.in/university-reviews/university-of-massachusetts-lowell-2622/engineering,University of Massachusetts Lowell ,UM Lowell
104,https://yocket.in/university-reviews/university-of-rochester-2638/engineering,University of Rochester ,U.Rochester
105,https://yocket.in/university-reviews/university-of-connecticut-1104/engineering,University of Connecticut ,UConn
106,https://yocket.in/university-reviews/rice-university-2594/engineering,Rice University ,Rice
